Reference, Value, Footprint, Datasheet
C1,1µF,Capacitors_SMD:C_0805_HandSoldering,
P1,BATT,Pin_Headers:Pin_Header_Straight_1x02,
U1,TLV70233DBV,Housings_SOT-23_SOT-143_TSOT-6:SOT-23-5,
JP1,Ureg EN,Footprints:SJ,
C2,1µF,Capacitors_SMD:C_0805_HandSoldering,
R5,10k,Resistors_SMD:R_0805_HandSoldering,
R4,10k,Resistors_SMD:R_0805_HandSoldering,
R3,10k,Resistors_SMD:R_0805_HandSoldering,
R2,10k,Resistors_SMD:R_0805_HandSoldering,
P11,microSD_SPI,Footprints:microSD,
IC3,GY88,Footprints:GY88,
JP2,G_AD0,Footprints:SJ_2,
IC1,ATMEGA328P-A,Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm,
C4,100nF,Capacitors_SMD:C_0805_HandSoldering,
C5,100nF,Capacitors_SMD:C_0805_HandSoldering,
C3,100nF,Capacitors_SMD:C_0805_HandSoldering,
Y1,Crystal 16Mhz,Crystals:Crystal_HC49-U_Vertical,
C7,22pF,Capacitors_SMD:C_0805_HandSoldering,
C8,22pF,Capacitors_SMD:C_0805_HandSoldering,
C9,100nF,Capacitors_SMD:C_0805_HandSoldering,
R1,10k,Resistors_SMD:R_0805_HandSoldering,
C6,100nF,Capacitors_SMD:C_0805_HandSoldering,
P3,RS232,Pin_Headers:Pin_Header_Straight_1x03,
P2,ISP,Pin_Headers:Pin_Header_Straight_2x03,
P5,Port C,Pin_Headers:Pin_Header_Straight_1x07,
P6,Port D,Pin_Headers:Pin_Header_Straight_1x08,
P7,ADC,Pin_Headers:Pin_Header_Straight_1x02,
P8,I2C,Pin_Headers:Pin_Header_Straight_1x05,
P9,I2C,Pin_Headers:Pin_Header_Straight_1x05,
P10,I2C,Pin_Headers:Pin_Header_Straight_1x05,
P4,Port B,Pin_Headers:Pin_Header_Straight_1x06,
