temperature 1;temperature 2;temperature 3;temperature 4;temperature 5;humidity;pressure;atm;altitude;battery;time;n
26,5;25,0;25,0000;25,0000;25,2500;53,2;95828;0,9457;467,98;1023;2016-07-17T14:18:12;1
26,4;25,0;25,0000;25,0000;25,1875;53,2;95820;0,9457;468,67;1023;2016-07-17T14:18:13;2
26,3;25,0;25,0000;25,0000;25,1875;53,1;95833;0,9458;467,54;1023;2016-07-17T14:18:14;3
26,3;25,0;25,0625;24,9375;25,1875;53,1;95816;0,9456;469,02;1023;2016-07-17T14:18:15;4
26,3;25,0;25,0625;24,9375;25,1250;52,8;95827;0,9457;468,06;1023;2016-07-17T14:18:16;5
26,2;25,0;25,0625;24,9375;25,1250;52,8;95822;0,9457;468,50;1023;2016-07-17T14:18:17;6
26,2;25,0;25,0625;24,9375;25,1250;52,6;95822;0,9457;468,50;1023;2016-07-17T14:18:18;7
26,2;25,0;25,0625;24,9375;25,1250;52,6;95816;0,9456;469,02;1023;2016-07-17T14:18:19;8
26,2;25,0;25,1250;24,9375;25,0625;52,6;95825;0,9457;468,24;1023;2016-07-17T14:18:20;9
26,1;25,0;25,1250;24,8750;25,0625;52,6;95823;0,9457;468,41;1023;2016-07-17T14:18:21;10
26,1;25,0;25,1250;24,8750;25,0625;52,6;95820;0,9457;468,67;1023;2016-07-17T14:18:22;11
26,1;25,0;25,1250;24,8750;25,0000;52,5;95823;0,9457;468,41;1023;2016-07-17T14:18:23;12
26,1;25,0;25,1250;24,8750;25,0000;52,5;95820;0,9457;468,67;1023;2016-07-17T14:18:24;13
26,1;25,0;25,1250;24,8125;25,0000;51,9;95823;0,9457;468,41;1023;2016-07-17T14:18:25;14
26,1;25,0;25,1250;24,8125;25,0000;51,9;95817;0,9456;468,94;1023;2016-07-17T14:18:26;15
26,1;25,0;25,1250;24,8125;25,0000;51,7;95832;0,9458;467,63;1023;2016-07-17T14:18:27;16
26,0;25,0;25,1875;24,8125;25,0000;51,7;95823;0,9457;468,41;1023;2016-07-17T14:18:28;17
26,0;25,0;25,1875;24,8125;24,9375;51,6;95812;0,9456;469,37;1023;2016-07-17T14:18:29;18
26,0;25,0;25,1875;24,8125;24,9375;51,6;95812;0,9456;469,37;1023;2016-07-17T14:18:30;19
26,0;25,0;25,1875;24,7500;24,9375;51,5;95818;0,9457;468,85;1023;2016-07-17T14:18:31;20
26,0;25,0;25,1875;24,7500;24,9375;51,5;95821;0,9457;468,59;1023;2016-07-17T14:18:32;21
26,0;25,0;25,1875;24,7500;24,9375;51,3;95824;0,9457;468,32;1023;2016-07-17T14:18:33;22
26,0;25,0;25,1875;24,7500;24,9375;51,3;95815;0,9456;469,11;1023;2016-07-17T14:18:34;23
26,0;25,0;25,2500;24,7500;24,8750;51,4;95812;0,9456;469,37;1023;2016-07-17T14:18:35;24
26,1;25,0;25,2500;24,7500;24,8750;51,4;95823;0,9457;468,41;1023;2016-07-17T14:18:36;25
26,0;25,0;25,2500;24,7500;24,8750;51,6;95823;0,9457;468,41;1023;2016-07-17T14:18:37;26
26,0;25,0;25,2500;24,6875;24,8750;51,6;95818;0,9457;468,85;1023;2016-07-17T14:18:38;27
26,0;25,0;25,2500;24,6875;24,8750;51,7;95821;0,9457;468,59;1023;2016-07-17T14:18:39;28
26,0;25,0;25,2500;24,6875;24,8750;51,7;95818;0,9457;468,85;1023;2016-07-17T14:18:40;29
26,0;25,0;25,2500;24,6875;24,8125;51,8;95821;0,9457;468,59;1023;2016-07-17T14:18:41;30
26,0;25,0;25,3125;24,6875;24,8125;51,8;95824;0,9457;468,32;1023;2016-07-17T14:18:42;31
26,0;25,0;25,3125;24,6875;24,8125;51,9;95818;0,9457;468,85;1023;2016-07-17T14:18:43;32
26,0;25,0;25,3125;24,6875;24,8125;51,9;95807;0,9455;469,80;1023;2016-07-17T14:18:44;33
25,9;25,0;25,3125;24,6250;24,8125;51,9;95816;0,9456;469,02;1023;2016-07-17T14:18:45;34
